#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Apr 23 16:28:57 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       NDLCom_top_map.ncd
#OUTPUT FILE:      NDLCom_top_pad.csv
#PART TYPE:        xc3s400a
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C7,recvSender(7),IOB,IO_L13N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,NODE_ID(6),IBUF,IO_L11P_0/GCLK8,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C9,recvLength(2),IOB,IO_L10P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,NODE_ID(1),IBUF,IO_L09P_0/GCLK4,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C11,error_debug2(12),IOB,IO_L07P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C12,recv_data(7),IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C13,error_debug2(1),IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C14,,,GND,,,,,,,,,,,,
C15,error_debug2(4),IOB,IO_L24N_1/A25,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C16,error_debug2(0),IOB,IO_L24P_1/A24,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D1,recvFrameCounter(5),IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,,,VCCO_3,,,3,,,,,2.50,,,,
D3,recvSender(1),IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D4,recvFrameCounter(6),IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D5,,DIFFSTB,IO_L20N_0/PUDC_B,UNUSED,,0,,,,,,,,,
D6,NODE_ID(5),IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D7,recvSender(6),IOB,IO_L16P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,recvLength(5),IOB,IO_L11N_0/GCLK9,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D9,recvLength(1),IOB,IO_L09N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D10,error_debug2(10),IOB,IO_L06P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,recv_data(6),IOB,IO_L03N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,NODE_ID(0),IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D13,error_debug2(6),IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D14,recv_data(1),IOB,IO_L23N_1/A23,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D15,recv_data(5),IOB,IO_L22N_1/A21,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D16,recv_data(4),IOB,IO_L22P_1/A20,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E1,recvFrameCounter(2),IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,,DIFFSLR,IO_L05N_3,UNUSED,,3,,,,,,,,,
E3,NODE_ID(7),IBUF,IO_L05P_3,INPUT,LVCMOS25*,3,,,,IBUF,,UNLOCATED,NO,NONE,
E4,,DIFFMI_NDT,IP_L04P_3,UNUSED,,3,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E7,recvFrameCounter(1),IOB,IO_L14N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,NODE_ID(2),IBUF,IP_0/VREF_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
E10,error_debug2(8),IOB,IO_L06N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,,,VCCAUX,,,,,,,,2.5,,,,
E12,,,GND,,,,,,,,,,,,
E13,recv_data(3),IOB,IO_L23P_1/A22,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E14,recv_addr(5),IBUF,IO_L20P_1/A18,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
E15,,,VCCO_1,,,1,,,,,2.50,,,,
E16,error_debug1(15),IOB,IO_L18P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F1,,DIFFMLR,IO_L08P_3,UNUSED,,3,,,,,,,,,
F2,,,GND,,,,,,,,,,,,
F3,,DIFFMLR,IO_L07P_3,UNUSED,,3,,,,,,,,,
F4,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
F5,,,VCCAUX,,,,,,,,2.5,,,,
F6,,,GND,,,,,,,,,,,,
F7,NODE_ID(4),IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
F8,recvLength(4),IOB,IO_L14P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,NODE_ID(3),IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
F10,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F11,recv_addr(7),IBUF,IP_L25N_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
F12,recv_addr(6),IBUF,IP_L25P_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
F13,recv_addr(4),IBUF,IO_L20N_1/A19,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
F14,error_debug2(7),IOB,IO_L19N_1/A17,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F15,error_debug1(13),IOB,IO_L18N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F16,error_debug1(12),IOB,IO_L16N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G1,,DIFFSLR,IO_L08N_3/VREF_3,UNUSED,,3,,,,,,,,,
G2,,DIFFMLR,IO_L11P_3/LHCLK0,UNUSED,,3,,,,,,,,,
G3,,DIFFMLR,IO_L09P_3,UNUSED,,3,,,,,,,,,
G4,,DIFFSLR,IO_L07N_3,UNUSED,,3,,,,,,,,,
G5,,DIFFSI_NDT,IP_L06N_3/VREF_3,UNUSED,,3,,,,,,,,,
G6,,DIFFMI_NDT,IP_L06P_3,UNUSED,,3,,,,,,,,,
G7,,,VCCINT,,,,,,,,1.2,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.2,,,,
G10,,,GND,,,,,,,,,,,,
G11,recv_addr(3),IBUF,IP_L21N_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
G12,recv_addr(2),IBUF,IP_L21P_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
G13,error_debug2(3),IOB,IO_L19P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G14,error_debug1(14),IOB,IO_L17N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G15,,,GND,,,,,,,,,,,,
G16,error_debug1(10),IOB,IO_L16P_1/A10,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H1,,DIFFSLR,IO_L11N_3/LHCLK1,UNUSED,,3,,,,,,,,,
H2,,,VCCO_3,,,3,,,,,2.50,,,,
H3,last_error(1),IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,,DIFFSLR,IO_L09N_3,UNUSED,,3,,,,,,,,,
H5,,DIFFSLR,IO_L10N_3,UNUSED,,3,,,,,,,,,
H6,newData,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.2,,,,
H9,,,GND,,,,,,,,,,,,
H10,recv_addr(0),IBUF,IP_L13P_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
H11,recv_addr(1),IBUF,IP_L13N_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,error,IOB,IO_L17P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H14,error_debug1(0),IOB,IO_L14N_1/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H15,last_error(8),IOB,IO_L15P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,dataAck,IBUF,IO_L15N_1/RHCLK7,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
J1,last_error(2),IOB,IO_L14N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J2,last_error(0),IOB,IO_L14P_3/LHCLK4,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,last_error(10),IOB,IO_L12N_3/IRDY2/LHCLK3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J4,,DIFFMLR,IO_L17P_3,UNUSED,,3,,,,,,,,,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,,DIFFSLR,IO_L17N_3,UNUSED,,3,,,,,,,,,
J7,,DIFFSI_NDT,IP_L13N_3,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VCCINT,,,,,,,,1.2,,,,
J10,ls_rx(0),IBUF,IP_L09P_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
J11,clear_last_error,IBUF,IP_L09N_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
J12,error_debug1(7),IOB,IO_L10P_1/A8,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J13,error_debug1(5),IOB,IO_L10N_1/A9,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J14,error_debug1(1),IOB,IO_L14P_1/RHCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,,,VCCO_1,,,1,,,,,2.50,,,,
J16,error_debug1(11),IOB,IO_L12N_1/TRDY1/RHCLK3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,,DIFFSLR,IO_L15N_3/LHCLK7,UNUSED,,3,,,,,,,,,
K2,,,GND,,,,,,,,,,,,
K3,,DIFFMLR,IO_L15P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
K4,,DIFFMLR,IO_L18P_3,UNUSED,,3,,,,,,,,,
K5,,DIFFMI_NDT,IP_L21P_3,UNUSED,,3,,,,,,,,,
K6,,DIFFSI_NDT,IP_L21N_3,UNUSED,,3,,,,,,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.2,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,VCCINT,,,,,,,,1.2,,,,
K11,send_addr(1),IBUF,IP_L04P_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
K12,send_addr(2),IBUF,IP_L04N_1/VREF_1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
K13,last_error(9),IOB,IO_L06N_1/A3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,error_debug1(6),IOB,IO_L11N_1/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K15,error_debug1(3),IOB,IO_L11P_1/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K16,error_debug1(9),IOB,IO_L12P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L1,,DIFFMLR,IO_L16P_3/VREF_3,UNUSED,,3,,,,,,,,,
L2,,DIFFSLR,IO_L16N_3,UNUSED,,3,,,,,,,,,
L3,,DIFFSLR,IO_L18N_3,UNUSED,,3,,,,,,,,,
L4,,DIFFSLR,IO_L19N_3,UNUSED,,3,,,,,,,,,
L5,,DIFFMI_NDT,IP_L25P_3,UNUSED,,3,,,,,,,,,
L6,,DIFFSI_NDT,IP_L25N_3/VREF_3,UNUSED,,3,,,,,,,,,
L7,sendReceiver(1),IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
L8,sendLength(1),IBUF,IP_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
L9,sendFrameCounter(1),IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
L10,sendLength(7),IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCAUX,,,,,,,,2.5,,,,
L13,last_error(12),IOB,IO_L06P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L14,error_debug1(4),IOB,IO_L08P_1/A6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L15,,,GND,,,,,,,,,,,,
L16,error_debug1(8),IOB,IO_L08N_1/A7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M1,,DIFFMLR,IO_L20P_3,UNUSED,,3,,,,,,,,,
M2,,,VCCO_3,,,3,,,,,2.50,,,,
M3,,DIFFMLR,IO_L19P_3,UNUSED,,3,,,,,,,,,
M4,,DIFFSLR,IO_L24N_3,UNUSED,,3,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,,VCCAUX,,,,,,,,2.5,,,,
M7,sendReceiver(2),IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
M8,sendFrameCounter(0),IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
M9,,,VCCO_2,,,2,,,,,2.50,,,,
M10,sendLength(2),IBUF,IO_L13N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
M11,send_data(0),IBUF,IP_2/VREF_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
M12,,,GND,,,,,,,,,,,,
M13,error_debug1(2),IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M14,last_error(13),IOB,IO_L05N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M15,last_error(15),IOB,IO_L07P_1/A4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M16,RST,IBUF,IO_L07N_1/A5,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
N1,,DIFFSLR,IO_L20N_3,UNUSED,,3,,,,,,,,,
N2,,DIFFMLR,IO_L22P_3,UNUSED,,3,,,,,,,,,
N3,,DIFFMLR,IO_L24P_3,UNUSED,,3,,,,,,,,,
N4,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
N5,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
N6,sendFrameCounter(4),IBUF,IO_L04P_2/VS1,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N7,sendReceiver(5),IBUF,IO_L07P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N8,sendReceiver(3),IBUF,IO_L08N_2/D4,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N9,send_addr(4),IBUF,IO_L11P_2/GCLK0,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N10,sendLength(3),IBUF,IO_L13P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N11,sendFrameCounter(6),IBUF,IO_L16N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N12,send_wea(0),IBUF,IO_L19P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
N13,send_data(3),IBUF,IO_L01P_1/HDC,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
N14,send_data(4),IBUF,IO_L01N_1/LDC2,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
N15,,,VCCO_1,,,1,,,,,2.50,,,,
N16,send_addr(0),IBUF,IO_L03N_1/A1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
P1,last_error(4),IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P2,,DIFFSLR,IO_L23N_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,last_error(6),IOB,IO_L01N_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P5,sendFrameCounter(5),IBUF,IO_L04N_2/VS0,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P6,,DIFFSTB,IO_L07N_2,UNUSED,,2,,,,,,,,,
P7,sendFrameCounter(2),IBUF,IO_L08P_2/D5,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P8,last_error(14),IOB,IO_L10P_2/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,sendFrameCounter(3),IBUF,IO_L11N_2/GCLK1,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P10,sendLength(0),IBUF,IO_L14N_2/MOSI/CSI_B,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P11,last_error(11),IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,send_addr(5),IBUF,IO_L17N_2/D3,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P13,send_data(7),IBUF,IO_L19N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,send_data(6),IBUF,IO_L02N_1/LDC0,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
P16,send_addr(3),IBUF,IO_L03P_1/A0,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
R1,,DIFFMLR,IO_L23P_3,UNUSED,,3,,,,,,,,,
R2,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
R3,ls_tx(0),IOB,IO_L03P_2/RDWR_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R4,,,VCCO_2,,,2,,,,,2.50,,,,
R5,,DIFFSTB,IO_L05N_2,UNUSED,,2,,,,,,,,,
R6,,,GND,,,,,,,,,,,,
R7,last_error(7),IOB,IO_L09P_2/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R8,,,VCCO_2,,,2,,,,,2.50,,,,
R9,sendFrameCounter(7),IBUF,IO_L12P_2/GCLK2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R10,,,GND,,,,,,,,,,,,
R11,sendLength(4),IBUF,IO_L15N_2/DOUT,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R12,,,VCCO_2,,,2,,,,,2.50,,,,
R13,send_addr(7),IBUF,IO_L18N_2/D1,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R14,send_data(2),IBUF,IO_L20N_2/CCLK,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
R15,send_data(5),IBUF,IO_L02P_1/LDC1,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
R16,,,SUSPEND,,,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,
T2,last_error(3),IOB,IO_L02N_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T3,last_error(5),IOB,IO_L03N_2/VS2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
